n = 10, times =  1.00us
n = 20, times =  3.00us
n = 30, times =  6.00us
n = 40, times =  10.00us
n = 50, times =  16.00us
n = 60, times =  28.00us
n = 70, times =  36.00us
n = 80, times =  39.00us
n = 90, times =  50.00us
n = 100, times =  62.00us
n = 200, times =  247.00us
n = 300, times =  572.00us
n = 400, times =  1000.00us
n = 500, times =  1548.00us
n = 600, times =  2218.00us
n = 700, times =  3009.00us
n = 800, times =  3943.00us
n = 900, times =  4966.00us
n = 1000, times =  6148.00us
n = 1500, times =  13774.00us
n = 2000, times =  24315.00us
n = 3000, times =  54099.00us
n = 4000, times =  94869.00us
n = 5000, times =  139334.00us
n = 10000, times =  555746.00us
