n = 10, times =  2.00us
n = 20, times =  2.00us
n = 30, times =  4.00us
n = 40, times =  5.00us
n = 50, times =  6.00us
n = 60, times =  8.00us
n = 70, times =  9.00us
n = 80, times =  10.00us
n = 90, times =  11.00us
n = 100, times =  13.00us
n = 200, times =  38.00us
n = 300, times =  137.00us
n = 400, times =  72.00us
n = 500, times =  80.00us
n = 600, times =  95.00us
n = 700, times =  115.00us
n = 800, times =  138.00us
n = 900, times =  149.00us
n = 1000, times =  183.00us
n = 1500, times =  464.00us
n = 2000, times =  561.00us
n = 3000, times =  1020.00us
n = 4000, times =  1760.00us
n = 5000, times =  2041.00us
n = 10000, times =  24722.00us
